0	1.000000
1	0.984715
2	0.969663
3	0.954842
4	0.940247
5	0.925875
6	0.911722
7	0.897787
8	0.884064
9	0.870551
10	0.857244
11	0.844141
12	0.831238
13	0.818532
14	0.806021
15	0.793701
16	0.781569
17	0.769622
18	0.757858
19	0.746274
20	0.734867
21	0.723635
22	0.712574
23	0.701682
24	0.690956
25	0.680395
26	0.669995
27	0.659754
28	0.649669
29	0.639739
30	0.629961
31	0.620331
32	0.610850
33	0.601513
34	0.592318
35	0.583265
36	0.574349
37	0.565570
38	0.556925
39	0.548412
40	0.540030
41	0.531775
42	0.523647
43	0.515643
44	0.507761
45	0.500000
46	0.492357
47	0.484832
48	0.477421
49	0.470123
50	0.462937
51	0.455861
52	0.448893
53	0.442032
54	0.435275
55	0.428622
56	0.422070
57	0.415619
58	0.409266
59	0.403010
60	0.396850
61	0.390784
62	0.384811
63	0.378929
64	0.373137
65	0.367434
66	0.361817
67	0.356287
68	0.350841
69	0.345478
70	0.340198
71	0.334997
72	0.329877
73	0.324835
74	0.319870
75	0.314980
76	0.310166
77	0.305425
78	0.300756
79	0.296159
80	0.291632
81	0.287175
82	0.282785
83	0.278463
84	0.274206
85	0.270015
86	0.265888
87	0.261824
88	0.257821
89	0.253881
90	0.250000

